,event_type,log_feature,volume,resource_type,severity_type
50,event_type 22,feature 68,2,resource_type 7,severity_type 1
51,event_type 35,feature 310,23,resource_type 2,severity_type 2
52,event_type 34,feature 235,2,resource_type 2,severity_type 2
53,event_type 35,feature 231,1,resource_type 2,severity_type 2
54,event_type 13,feature 273,4,resource_type 4,severity_type 1
55,event_type 11,feature 197,1,resource_type 7,severity_type 2
56,event_type 34,feature 315,1,resource_type 2,severity_type 2
57,event_type 15,feature 68,2,resource_type 8,severity_type 2
58,event_type 43,feature 375,30,resource_type 2,severity_type 1
59,event_type 44,feature 368,3,resource_type 2,severity_type 1
60,event_type 11,feature 75,8,resource_type 8,severity_type 2
61,event_type 42,feature 283,3,resource_type 2,severity_type 1
62,event_type 34,feature 312,13,resource_type 2,severity_type 2
63,event_type 11,feature 68,2,resource_type 8,severity_type 1
64,event_type 35,feature 235,4,resource_type 2,severity_type 2
65,event_type 15,feature 82,44,resource_type 8,severity_type 1
66,event_type 34,feature 313,5,resource_type 2,severity_type 2
67,event_type 34,feature 233,2,resource_type 2,severity_type 2
68,event_type 11,feature 80,1,resource_type 2,severity_type 1
69,event_type 15,feature 82,47,resource_type 8,severity_type 2
70,event_type 44,feature 293,15,resource_type 2,severity_type 1
71,event_type 15,feature 82,6,resource_type 8,severity_type 2
72,event_type 39,feature 383,1,resource_type 9,severity_type 1
73,event_type 34,feature 313,1,resource_type 2,severity_type 2
74,event_type 34,feature 309,1,resource_type 2,severity_type 2
75,event_type 35,feature 227,1,resource_type 2,severity_type 2
76,event_type 26,feature 276,1,resource_type 8,severity_type 2
77,event_type 43,feature 291,3,resource_type 2,severity_type 1
78,event_type 34,feature 234,11,resource_type 2,severity_type 2
79,event_type 44,feature 375,11,resource_type 2,severity_type 1
80,event_type 11,feature 304,1,resource_type 4,severity_type 1
81,event_type 35,feature 232,1,resource_type 2,severity_type 2
82,event_type 15,feature 203,7,resource_type 8,severity_type 2
83,event_type 34,feature 232,2,resource_type 2,severity_type 2
84,event_type 44,feature 368,11,resource_type 2,severity_type 1
85,event_type 34,feature 232,1,resource_type 2,severity_type 2
86,event_type 34,feature 312,5,resource_type 2,severity_type 2
87,event_type 44,feature 290,4,resource_type 2,severity_type 1
88,event_type 11,feature 209,1,resource_type 8,severity_type 1
89,event_type 11,feature 221,1,resource_type 8,severity_type 1
90,event_type 34,feature 312,177,resource_type 2,severity_type 2
91,event_type 11,feature 62,1,resource_type 8,severity_type 1
92,event_type 11,feature 170,2,resource_type 8,severity_type 1
93,event_type 20,feature 134,2,resource_type 2,severity_type 1
94,event_type 54,feature 80,8,resource_type 8,severity_type 1
95,event_type 14,feature 222,1,resource_type 6,severity_type 1
96,event_type 14,feature 30,1,resource_type 2,severity_type 1
97,event_type 35,feature 134,1,resource_type 2,severity_type 1
98,event_type 23,feature 306,1,resource_type 7,severity_type 2
99,event_type 34,feature 181,1,resource_type 8,severity_type 2
100,event_type 20,feature 134,1,resource_type 7,severity_type 1
101,event_type 13,feature 68,13,resource_type 6,severity_type 1
102,event_type 20,feature 134,1,resource_type 8,severity_type 1
103,event_type 11,feature 171,14,resource_type 8,severity_type 1
104,event_type 10,feature 240,1,resource_type 9,severity_type 1
105,event_type 15,feature 82,75,resource_type 8,severity_type 1
106,event_type 54,feature 82,8,resource_type 2,severity_type 1
107,event_type 20,feature 306,1,resource_type 2,severity_type 1
108,event_type 11,feature 350,1,resource_type 8,severity_type 1
109,event_type 35,feature 315,1,resource_type 2,severity_type 2
110,event_type 34,feature 309,22,resource_type 2,severity_type 2
111,event_type 11,feature 305,2,resource_type 8,severity_type 1
112,event_type 35,feature 227,7,resource_type 2,severity_type 2
113,event_type 20,feature 133,2,resource_type 2,severity_type 1
114,event_type 11,feature 306,2,resource_type 7,severity_type 1
115,event_type 11,feature 181,1,resource_type 2,severity_type 1
116,event_type 35,feature 160,1,resource_type 2,severity_type 1
117,event_type 23,feature 306,1,resource_type 2,severity_type 1
118,event_type 11,feature 134,1,resource_type 2,severity_type 1
119,event_type 35,feature 312,1,resource_type 2,severity_type 2
120,event_type 11,feature 201,24,resource_type 1,severity_type 1
121,event_type 35,feature 312,2,resource_type 2,severity_type 2
122,event_type 34,feature 234,27,resource_type 2,severity_type 2
123,event_type 23,feature 90,1,resource_type 7,severity_type 1
124,event_type 34,feature 307,1,resource_type 2,severity_type 2
125,event_type 11,feature 80,6,resource_type 8,severity_type 1
126,event_type 20,feature 312,10,resource_type 2,severity_type 1
127,event_type 23,feature 306,1,resource_type 8,severity_type 1
128,event_type 11,feature 54,1,resource_type 8,severity_type 1
129,event_type 20,feature 219,1,resource_type 8,severity_type 1
130,event_type 22,feature 306,1,resource_type 8,severity_type 1
131,event_type 34,feature 235,2,resource_type 2,severity_type 2
132,event_type 34,feature 312,1,resource_type 2,severity_type 2
133,event_type 11,feature 71,1,resource_type 8,severity_type 1
134,event_type 11,feature 193,2,resource_type 8,severity_type 1
135,event_type 13,feature 273,1,resource_type 6,severity_type 1
136,event_type 35,feature 228,1,resource_type 2,severity_type 2
137,event_type 15,feature 203,1,resource_type 8,severity_type 1
138,event_type 18,feature 273,2,resource_type 10,severity_type 1
139,event_type 44,feature 283,2,resource_type 2,severity_type 1
140,event_type 20,feature 134,1,resource_type 2,severity_type 1
141,event_type 35,feature 232,2,resource_type 2,severity_type 2
142,event_type 35,feature 314,2,resource_type 2,severity_type 2
143,event_type 11,feature 314,2,resource_type 8,severity_type 1
144,event_type 35,feature 308,9,resource_type 2,severity_type 2
145,event_type 23,feature 306,1,resource_type 8,severity_type 1
146,event_type 34,feature 312,4,resource_type 2,severity_type 2
147,event_type 35,feature 235,5,resource_type 2,severity_type 2
148,event_type 34,feature 307,2,resource_type 2,severity_type 2
149,event_type 11,feature 273,4,resource_type 2,severity_type 1
150,event_type 15,feature 56,2,resource_type 2,severity_type 1
151,event_type 15,feature 71,2,resource_type 8,severity_type 2
152,event_type 23,feature 58,1,resource_type 8,severity_type 1
153,event_type 11,feature 54,9,resource_type 6,severity_type 1
154,event_type 11,feature 318,4,resource_type 2,severity_type 1
155,event_type 14,feature 68,1,resource_type 8,severity_type 1
156,event_type 42,feature 376,13,resource_type 2,severity_type 1
157,event_type 34,feature 315,1,resource_type 2,severity_type 2
158,event_type 20,feature 154,1,resource_type 2,severity_type 1
159,event_type 13,feature 273,1,resource_type 6,severity_type 1
160,event_type 35,feature 312,18,resource_type 2,severity_type 2
161,event_type 34,feature 312,1,resource_type 2,severity_type 2
162,event_type 15,feature 71,6,resource_type 8,severity_type 1
163,event_type 11,feature 170,2,resource_type 8,severity_type 2
164,event_type 20,feature 219,9,resource_type 8,severity_type 1
165,event_type 11,feature 206,6,resource_type 8,severity_type 1
166,event_type 34,feature 232,16,resource_type 2,severity_type 2
167,event_type 35,feature 228,3,resource_type 2,severity_type 2
168,event_type 15,feature 80,5,resource_type 8,severity_type 2
169,event_type 34,feature 312,1,resource_type 2,severity_type 2
170,event_type 20,feature 219,1,resource_type 2,severity_type 1
171,event_type 11,feature 74,1,resource_type 8,severity_type 1
172,event_type 35,feature 313,47,resource_type 2,severity_type 2
173,event_type 11,feature 71,1,resource_type 8,severity_type 1
174,event_type 13,feature 170,1,resource_type 6,severity_type 1
175,event_type 20,feature 134,1,resource_type 2,severity_type 1
176,event_type 34,feature 234,2,resource_type 2,severity_type 2
177,event_type 11,feature 70,2,resource_type 8,severity_type 2
178,event_type 34,feature 229,48,resource_type 2,severity_type 2
179,event_type 11,feature 55,1,resource_type 5,severity_type 1
180,event_type 13,feature 273,1,resource_type 8,severity_type 1
181,event_type 11,feature 235,2,resource_type 2,severity_type 1
182,event_type 23,feature 222,8,resource_type 7,severity_type 1
183,event_type 35,feature 94,4,resource_type 2,severity_type 1
184,event_type 11,feature 182,1,resource_type 8,severity_type 1
185,event_type 9,feature 219,2,resource_type 8,severity_type 1
186,event_type 34,feature 232,1,resource_type 2,severity_type 2
187,event_type 35,feature 315,2,resource_type 2,severity_type 2
188,event_type 35,feature 312,6,resource_type 2,severity_type 2
189,event_type 11,feature 54,4,resource_type 4,severity_type 1
190,event_type 34,feature 354,1,resource_type 8,severity_type 1
191,event_type 11,feature 81,2,resource_type 8,severity_type 1
192,event_type 11,feature 71,2,resource_type 8,severity_type 1
193,event_type 11,feature 219,1,resource_type 8,severity_type 1
194,event_type 11,feature 345,1,resource_type 8,severity_type 1
195,event_type 11,feature 71,6,resource_type 2,severity_type 1
196,event_type 11,feature 73,11,resource_type 8,severity_type 1
197,event_type 35,feature 44,1,resource_type 2,severity_type 1
198,event_type 15,feature 137,1,resource_type 8,severity_type 1
199,event_type 11,feature 75,8,resource_type 7,severity_type 2
200,event_type 54,feature 198,3,resource_type 8,severity_type 1
201,event_type 20,feature 54,9,resource_type 4,severity_type 1
202,event_type 35,feature 312,5,resource_type 2,severity_type 2
203,event_type 34,feature 307,1,resource_type 2,severity_type 2
204,event_type 34,feature 311,6,resource_type 2,severity_type 2
205,event_type 43,feature 376,1,resource_type 2,severity_type 2
206,event_type 11,feature 203,11,resource_type 2,severity_type 1
207,event_type 35,feature 310,3,resource_type 2,severity_type 2
208,event_type 14,feature 68,1,resource_type 2,severity_type 1
209,event_type 44,feature 283,43,resource_type 2,severity_type 1
210,event_type 35,feature 312,3,resource_type 2,severity_type 2
211,event_type 34,feature 313,6,resource_type 2,severity_type 2
212,event_type 32,feature 170,1,resource_type 8,severity_type 1
213,event_type 42,feature 290,5,resource_type 2,severity_type 1
214,event_type 44,feature 290,4,resource_type 2,severity_type 1
215,event_type 23,feature 306,2,resource_type 2,severity_type 1
216,event_type 35,feature 312,6,resource_type 2,severity_type 2
217,event_type 34,feature 312,4,resource_type 2,severity_type 2
218,event_type 35,feature 232,1,resource_type 2,severity_type 2
219,event_type 44,feature 283,34,resource_type 2,severity_type 1
220,event_type 35,feature 229,1,resource_type 2,severity_type 2
221,event_type 34,feature 234,2,resource_type 2,severity_type 2
222,event_type 34,feature 235,38,resource_type 2,severity_type 2
223,event_type 14,feature 163,3,resource_type 8,severity_type 1
224,event_type 35,feature 315,1,resource_type 2,severity_type 2
225,event_type 35,feature 227,1,resource_type 2,severity_type 2
226,event_type 35,feature 232,4,resource_type 2,severity_type 2
227,event_type 20,feature 305,1,resource_type 8,severity_type 1
228,event_type 54,feature 219,1,resource_type 2,severity_type 1
229,event_type 35,feature 228,23,resource_type 2,severity_type 2
230,event_type 43,feature 368,1,resource_type 2,severity_type 1
231,event_type 35,feature 301,2,resource_type 2,severity_type 1
232,event_type 11,feature 306,1,resource_type 7,severity_type 1
233,event_type 11,feature 193,2,resource_type 8,severity_type 1
234,event_type 11,feature 82,2,resource_type 8,severity_type 1
235,event_type 35,feature 227,2,resource_type 2,severity_type 2
236,event_type 35,feature 312,1,resource_type 2,severity_type 2
237,event_type 35,feature 313,2,resource_type 2,severity_type 2
238,event_type 23,feature 75,1,resource_type 7,severity_type 2
239,event_type 34,feature 233,2,resource_type 2,severity_type 2
240,event_type 23,feature 134,1,resource_type 7,severity_type 1
241,event_type 22,feature 54,4,resource_type 2,severity_type 1
242,event_type 11,feature 305,1,resource_type 8,severity_type 2
243,event_type 20,feature 312,1,resource_type 8,severity_type 1
244,event_type 35,feature 232,3,resource_type 2,severity_type 2
245,event_type 35,feature 311,2,resource_type 2,severity_type 2
246,event_type 18,feature 258,1,resource_type 10,severity_type 1
247,event_type 35,feature 315,1,resource_type 2,severity_type 4
248,event_type 22,feature 222,1,resource_type 7,severity_type 2
249,event_type 35,feature 232,3,resource_type 2,severity_type 2
250,event_type 11,feature 202,10,resource_type 8,severity_type 1
251,event_type 34,feature 312,3,resource_type 2,severity_type 2
252,event_type 11,feature 81,8,resource_type 8,severity_type 2
253,event_type 34,feature 234,1,resource_type 2,severity_type 2
254,event_type 11,feature 55,2,resource_type 5,severity_type 1
255,event_type 43,feature 375,6,resource_type 2,severity_type 1
256,event_type 34,feature 235,1,resource_type 2,severity_type 2
257,event_type 15,feature 56,2,resource_type 8,severity_type 2
258,event_type 35,feature 307,2,resource_type 2,severity_type 2
259,event_type 34,feature 308,2,resource_type 2,severity_type 2
260,event_type 34,feature 312,1,resource_type 2,severity_type 2
261,event_type 20,feature 68,1,resource_type 8,severity_type 1
262,event_type 20,feature 222,2,resource_type 6,severity_type 1
263,event_type 11,feature 94,2,resource_type 2,severity_type 1
264,event_type 35,feature 44,1,resource_type 8,severity_type 1
265,event_type 20,feature 305,1,resource_type 4,severity_type 1
266,event_type 22,feature 306,9,resource_type 8,severity_type 1
267,event_type 20,feature 169,2,resource_type 4,severity_type 1
268,event_type 43,feature 368,4,resource_type 2,severity_type 1
269,event_type 34,feature 307,2,resource_type 2,severity_type 1
270,event_type 34,feature 312,34,resource_type 2,severity_type 2
271,event_type 34,feature 232,2,resource_type 2,severity_type 2
272,event_type 26,feature 193,1,resource_type 9,severity_type 2
273,event_type 42,feature 283,27,resource_type 2,severity_type 1
274,event_type 35,feature 314,2,resource_type 2,severity_type 4
275,event_type 23,feature 222,1,resource_type 7,severity_type 2
276,event_type 11,feature 312,6,resource_type 8,severity_type 1
277,event_type 23,feature 223,4,resource_type 8,severity_type 1
278,event_type 11,feature 82,2,resource_type 8,severity_type 1
279,event_type 35,feature 315,1,resource_type 2,severity_type 2
280,event_type 15,feature 71,2,resource_type 8,severity_type 1
281,event_type 35,feature 312,2,resource_type 2,severity_type 1
282,event_type 35,feature 219,2,resource_type 2,severity_type 1
283,event_type 20,feature 374,2,resource_type 2,severity_type 1
284,event_type 11,feature 68,4,resource_type 6,severity_type 1
285,event_type 15,feature 201,1,resource_type 8,severity_type 2
286,event_type 54,feature 222,1,resource_type 8,severity_type 1
287,event_type 35,feature 314,4,resource_type 2,severity_type 2
288,event_type 11,feature 179,1,resource_type 8,severity_type 2
289,event_type 35,feature 232,2,resource_type 2,severity_type 2
290,event_type 22,feature 89,1,resource_type 8,severity_type 1
291,event_type 11,feature 54,3,resource_type 8,severity_type 2
292,event_type 34,feature 312,3,resource_type 2,severity_type 2
293,event_type 35,feature 312,3,resource_type 2,severity_type 2
294,event_type 11,feature 179,14,resource_type 4,severity_type 1
295,event_type 44,feature 283,17,resource_type 2,severity_type 1
296,event_type 35,feature 312,1,resource_type 2,severity_type 2
297,event_type 11,feature 172,1,resource_type 8,severity_type 1
298,event_type 11,feature 154,1,resource_type 9,severity_type 1
299,event_type 34,feature 231,2,resource_type 2,severity_type 2
300,event_type 15,feature 80,8,resource_type 2,severity_type 1
301,event_type 35,feature 232,1,resource_type 2,severity_type 2
302,event_type 35,feature 307,2,resource_type 2,severity_type 2
303,event_type 54,feature 56,2,resource_type 2,severity_type 1
304,event_type 11,feature 70,2,resource_type 8,severity_type 1
305,event_type 35,feature 307,1,resource_type 2,severity_type 2
306,event_type 54,feature 80,3,resource_type 2,severity_type 2
307,event_type 23,feature 68,2,resource_type 6,severity_type 1
308,event_type 11,feature 201,3,resource_type 8,severity_type 1
309,event_type 35,feature 235,4,resource_type 2,severity_type 2
310,event_type 34,feature 312,1,resource_type 2,severity_type 2
311,event_type 13,feature 48,1,resource_type 7,severity_type 1
312,event_type 11,feature 170,1,resource_type 2,severity_type 1
313,event_type 23,feature 75,4,resource_type 8,severity_type 2
314,event_type 7,feature 80,5,resource_type 8,severity_type 1
315,event_type 34,feature 227,1,resource_type 2,severity_type 2
316,event_type 11,feature 73,2,resource_type 8,severity_type 1
317,event_type 11,feature 193,4,resource_type 8,severity_type 1
318,event_type 20,feature 219,1,resource_type 8,severity_type 1
319,event_type 44,feature 375,19,resource_type 2,severity_type 1
320,event_type 44,feature 376,3,resource_type 2,severity_type 4
321,event_type 54,feature 193,2,resource_type 2,severity_type 1
322,event_type 23,feature 179,1,resource_type 8,severity_type 1
323,event_type 11,feature 193,3,resource_type 8,severity_type 1
324,event_type 34,feature 233,6,resource_type 2,severity_type 2
325,event_type 34,feature 232,9,resource_type 2,severity_type 2
326,event_type 35,feature 312,1,resource_type 8,severity_type 2
327,event_type 34,feature 227,2,resource_type 2,severity_type 2
328,event_type 15,feature 82,26,resource_type 8,severity_type 2
329,event_type 34,feature 235,1,resource_type 2,severity_type 2
330,event_type 20,feature 54,5,resource_type 8,severity_type 1
331,event_type 11,feature 68,5,resource_type 8,severity_type 1
332,event_type 11,feature 273,1,resource_type 6,severity_type 1
333,event_type 11,feature 305,12,resource_type 8,severity_type 1
334,event_type 20,feature 301,2,resource_type 2,severity_type 1
335,event_type 32,feature 170,24,resource_type 8,severity_type 1
336,event_type 35,feature 232,1,resource_type 2,severity_type 1
337,event_type 20,feature 301,2,resource_type 2,severity_type 1
338,event_type 11,feature 203,15,resource_type 8,severity_type 1
339,event_type 34,feature 315,3,resource_type 2,severity_type 2
340,event_type 20,feature 55,2,resource_type 2,severity_type 1
341,event_type 43,feature 376,6,resource_type 2,severity_type 1
342,event_type 11,feature 345,1,resource_type 8,severity_type 1
343,event_type 34,feature 234,20,resource_type 2,severity_type 2
344,event_type 20,feature 134,1,resource_type 2,severity_type 1
345,event_type 34,feature 233,2,resource_type 2,severity_type 2
346,event_type 11,feature 193,2,resource_type 8,severity_type 1
347,event_type 3,feature 43,1,resource_type 8,severity_type 1
348,event_type 32,feature 219,1,resource_type 2,severity_type 1
349,event_type 42,feature 291,1,resource_type 2,severity_type 1
350,event_type 20,feature 307,2,resource_type 2,severity_type 1
351,event_type 11,feature 71,21,resource_type 2,severity_type 1
352,event_type 34,feature 307,4,resource_type 2,severity_type 2
353,event_type 14,feature 170,2,resource_type 4,severity_type 2
354,event_type 46,feature 369,1,resource_type 2,severity_type 1
355,event_type 35,feature 301,1,resource_type 2,severity_type 4
356,event_type 35,feature 227,1,resource_type 2,severity_type 2
357,event_type 11,feature 219,1,resource_type 8,severity_type 1
358,event_type 23,feature 87,3,resource_type 7,severity_type 2
359,event_type 35,feature 232,1,resource_type 2,severity_type 2
360,event_type 23,feature 170,1,resource_type 6,severity_type 1
361,event_type 34,feature 314,20,resource_type 2,severity_type 2
362,event_type 34,feature 312,4,resource_type 2,severity_type 1
363,event_type 22,feature 219,1,resource_type 2,severity_type 1
364,event_type 11,feature 167,2,resource_type 8,severity_type 1
365,event_type 15,feature 203,2,resource_type 8,severity_type 2
366,event_type 11,feature 345,8,resource_type 4,severity_type 1
367,event_type 13,feature 345,2,resource_type 10,severity_type 1
368,event_type 35,feature 232,1,resource_type 2,severity_type 2
369,event_type 11,feature 68,1,resource_type 8,severity_type 1
370,event_type 35,feature 301,1,resource_type 2,severity_type 1
371,event_type 11,feature 345,1,resource_type 6,severity_type 1
372,event_type 43,feature 368,40,resource_type 2,severity_type 1
373,event_type 34,feature 313,4,resource_type 2,severity_type 2
374,event_type 34,feature 316,2,resource_type 2,severity_type 2
375,event_type 10,feature 240,7,resource_type 9,severity_type 1
376,event_type 35,feature 312,1,resource_type 2,severity_type 2
377,event_type 34,feature 315,13,resource_type 2,severity_type 2
378,event_type 54,feature 360,1,resource_type 2,severity_type 1
379,event_type 11,feature 154,4,resource_type 3,severity_type 1
380,event_type 22,feature 69,2,resource_type 8,severity_type 1
381,event_type 35,feature 315,40,resource_type 2,severity_type 2
382,event_type 15,feature 82,20,resource_type 8,severity_type 2
383,event_type 34,feature 233,2,resource_type 2,severity_type 2
384,event_type 11,feature 62,1,resource_type 8,severity_type 1
385,event_type 42,feature 283,1,resource_type 2,severity_type 1
386,event_type 11,feature 71,52,resource_type 8,severity_type 1
387,event_type 11,feature 54,2,resource_type 6,severity_type 1
388,event_type 25,feature 364,1,resource_type 8,severity_type 3
389,event_type 11,feature 182,1,resource_type 8,severity_type 1
390,event_type 27,feature 218,3,resource_type 9,severity_type 1
391,event_type 34,feature 313,2,resource_type 2,severity_type 2
392,event_type 43,feature 291,5,resource_type 2,severity_type 1
393,event_type 28,feature 171,1,resource_type 3,severity_type 1
394,event_type 18,feature 255,1,resource_type 6,severity_type 1
395,event_type 3,feature 5,3,resource_type 8,severity_type 1
396,event_type 35,feature 234,3,resource_type 2,severity_type 2
397,event_type 11,feature 54,143,resource_type 8,severity_type 1
398,event_type 11,feature 47,7,resource_type 8,severity_type 1
399,event_type 35,feature 181,1,resource_type 8,severity_type 2
400,event_type 20,feature 134,1,resource_type 2,severity_type 1
401,event_type 13,feature 345,2,resource_type 7,severity_type 1
402,event_type 34,feature 232,1,resource_type 2,severity_type 2
403,event_type 11,feature 54,9,resource_type 8,severity_type 1
404,event_type 11,feature 54,55,resource_type 7,severity_type 1
405,event_type 10,feature 127,2,resource_type 9,severity_type 1
406,event_type 35,feature 354,4,resource_type 8,severity_type 1
407,event_type 34,feature 227,1,resource_type 2,severity_type 2
408,event_type 23,feature 306,2,resource_type 8,severity_type 2
409,event_type 15,feature 193,2,resource_type 8,severity_type 1
410,event_type 20,feature 284,1,resource_type 2,severity_type 1
411,event_type 23,feature 75,1,resource_type 7,severity_type 2
412,event_type 34,feature 235,111,resource_type 2,severity_type 2
413,event_type 15,feature 172,3,resource_type 1,severity_type 1
414,event_type 46,feature 285,16,resource_type 2,severity_type 1
415,event_type 35,feature 315,53,resource_type 2,severity_type 2
416,event_type 35,feature 230,2,resource_type 2,severity_type 1
417,event_type 34,feature 181,1,resource_type 2,severity_type 2
418,event_type 11,feature 193,10,resource_type 2,severity_type 1
419,event_type 43,feature 375,1,resource_type 2,severity_type 1
420,event_type 44,feature 368,5,resource_type 2,severity_type 1
421,event_type 1,feature 71,4,resource_type 8,severity_type 2
422,event_type 20,feature 219,1,resource_type 8,severity_type 1
423,event_type 34,feature 232,2,resource_type 8,severity_type 1
424,event_type 15,feature 193,15,resource_type 8,severity_type 1
425,event_type 11,feature 170,12,resource_type 8,severity_type 1
426,event_type 35,feature 301,2,resource_type 2,severity_type 2
427,event_type 11,feature 54,1,resource_type 8,severity_type 1
428,event_type 24,feature 219,1,resource_type 7,severity_type 1
429,event_type 21,feature 134,1,resource_type 2,severity_type 1
430,event_type 34,feature 233,65,resource_type 2,severity_type 2
431,event_type 11,feature 170,23,resource_type 8,severity_type 1
432,event_type 11,feature 70,1,resource_type 8,severity_type 1
433,event_type 35,feature 232,1,resource_type 8,severity_type 2
434,event_type 20,feature 219,1,resource_type 8,severity_type 1
435,event_type 35,feature 312,1,resource_type 2,severity_type 4
436,event_type 11,feature 68,1,resource_type 7,severity_type 2
437,event_type 15,feature 201,1,resource_type 8,severity_type 2
438,event_type 23,feature 306,3,resource_type 7,severity_type 2
439,event_type 34,feature 312,3,resource_type 2,severity_type 2
440,event_type 18,feature 250,2,resource_type 6,severity_type 1
441,event_type 11,feature 170,5,resource_type 8,severity_type 1
442,event_type 15,feature 203,6,resource_type 8,severity_type 2
443,event_type 34,feature 312,5,resource_type 2,severity_type 2
444,event_type 15,feature 193,1,resource_type 9,severity_type 2
445,event_type 34,feature 312,1,resource_type 2,severity_type 2
446,event_type 34,feature 95,1,resource_type 8,severity_type 1
447,event_type 43,feature 375,1,resource_type 2,severity_type 1
448,event_type 35,feature 312,1,resource_type 2,severity_type 2
449,event_type 35,feature 229,14,resource_type 2,severity_type 2
450,event_type 15,feature 203,6,resource_type 8,severity_type 2
451,event_type 11,feature 155,9,resource_type 8,severity_type 1
452,event_type 35,feature 227,1,resource_type 2,severity_type 2
453,event_type 13,feature 68,10,resource_type 6,severity_type 1
454,event_type 11,feature 179,1,resource_type 8,severity_type 1
455,event_type 35,feature 181,1,resource_type 8,severity_type 2
456,event_type 34,feature 307,1,resource_type 2,severity_type 2
457,event_type 11,feature 193,2,resource_type 2,severity_type 1
458,event_type 23,feature 273,1,resource_type 6,severity_type 1
459,event_type 15,feature 80,4,resource_type 8,severity_type 2
460,event_type 13,feature 170,12,resource_type 4,severity_type 1
461,event_type 20,feature 301,1,resource_type 2,severity_type 1
462,event_type 34,feature 232,1,resource_type 2,severity_type 2
463,event_type 11,feature 82,170,resource_type 8,severity_type 1
464,event_type 14,feature 304,2,resource_type 2,severity_type 1
465,event_type 34,feature 94,1,resource_type 2,severity_type 1
466,event_type 42,feature 283,8,resource_type 2,severity_type 1
467,event_type 35,feature 235,16,resource_type 2,severity_type 2
468,event_type 35,feature 312,2,resource_type 2,severity_type 2
469,event_type 34,feature 312,5,resource_type 2,severity_type 2
470,event_type 42,feature 283,9,resource_type 2,severity_type 1
471,event_type 20,feature 345,1,resource_type 4,severity_type 1
472,event_type 13,feature 345,1,resource_type 6,severity_type 1
473,event_type 15,feature 82,10,resource_type 8,severity_type 2
474,event_type 34,feature 232,1,resource_type 2,severity_type 2
475,event_type 34,feature 307,2,resource_type 2,severity_type 2
476,event_type 34,feature 310,1,resource_type 8,severity_type 1
477,event_type 34,feature 229,20,resource_type 2,severity_type 2
478,event_type 20,feature 219,1,resource_type 2,severity_type 1
479,event_type 20,feature 221,1,resource_type 2,severity_type 1
480,event_type 10,feature 154,2,resource_type 3,severity_type 1
